facility_name,category2,latitude,longitude,land_lot_address,phone_number,operating_hours
001스테이지,영화/연극/공연,37.58153269,127.002336,서울특별시 종로구 동숭동 1-115,02-744-0015,10:00-19:00
1987박종철기념관,전시/기념관,37.46938355,126.938152,서울특별시 관악구 신림동 241-13,,정보없음
1MSPACE,영화/연극/공연,37.55760078,126.938198,서울특별시 서대문구 창천동 13-21,,정보없음
2001아울렛 구로 어린이 소극장,영화/연극/공연,37.49807255,126.862677,서울특별시 구로구 고척동 76-41,02-2093-5093,10:00-22:00
313아트프로젝트,전시/기념관,37.59501819,126.989272,서울특별시 성북구 성북동 286-5,02-3446-3137,"화-토 10 am-6 pm, 전시 화-토 11 am-5 pm"
3D블랙아트,전시/기념관,37.547246,127.078304,서울특별시 광진구 능동 18-11,,정보없음
3RDMUSEUM,전시/기념관,37.55163429,126.919113,서울특별시 마포구 서교동 395-12,,10:00-19:00
4.19국립묘지4.19기념관,전시/기념관,37.64839067,127.009071,서울특별시 강북구 수유동 산 7-1,02-996-0419,월-금요일 근무일 09:00-17:00
4.19혁명기념회관,전시/기념관,37.56744493,126.967694,서울특별시 종로구 평동 166,02-737-9556,월-토 08:00-22:00
4차산업혁명체험센터,전시/기념관,37.55467447,127.04049,서울특별시 성동구 행당동 378,02-2286-7811,09:00-18:00
63빌딩63스카이아트미술관,전시/기념관,37.51966416,126.939909,서울특별시 영등포구 여의도동 60,02-789-5663,10:00-20:00
63빌딩한화아쿠아플라넷,관광지,37.51966416,126.939909,서울특별시 영등포구 여의도동 60,1833-7001,10:00-19:00 (입장마감 18:30)
7PICTURES,전시/기념관,37.56566354,126.927005,서울특별시 서대문구 연희동 219-6,,정보없음
가나미디어,영화/연극/공연,37.57292514,127.00162,서울특별시 종로구 연지동 136-46,02-3477-9923,정보없음
가나아트,전시/기념관,37.57499572,126.983939,서울특별시 종로구 관훈동 119,0507-1362-1333,평일 10:00-19:00
가나아트,전시/기념관,37.61224471,126.975182,서울특별시 종로구 평창동 97,0507-1402-5011,매일 10:00-19:00
가람화랑,전시/기념관,37.57428279,126.985614,서울특별시 종로구 관훈동 30-10,0507-1332-6170,정보없음
가스펠재즈,영화/연극/공연,37.49998194,127.039705,서울특별시 강남구 역삼동 725-17,02-553-5888,정보없음
가야극장,영화/연극/공연,37.56497574,126.959222,서울특별시 서대문구 충정로3가 3-397,,정보없음
가양레포츠센터축구장,대형체육시설,37.55996013,126.86556,서울특별시 강서구 가양동 1493,02-6229-6680,주중 :09:00-22:00/주말 :주말 06:00-22:00
가온스테이지,영화/연극/공연,37.5531083,126.917526,서울특별시 마포구 서교동 377-3,0507-1347-8650,24시간 운영
가이아갤러리,전시/기념관,37.5751462,126.983386,서울특별시 종로구 관훈동 144,02-733-3373,"월-토 10:00-18:00, 일 11:00-17:00"
가족사랑전람,전시/기념관,37.59166254,127.014818,서울특별시 성북구 동소문동5가 120,070-4633-1840,정보없음
가톨릭대학교박물관,전시/기념관,37.58490098,127.004771,서울특별시 종로구 혜화동 90-1,02-740-9707,"월-금 10:00-12:40, 14:10-17:00"
가회민화박물관,전시/기념관,37.58150935,126.985229,서울특별시 종로구 가회동 28,02-741-0466,화요일-일요일 10:00-18:00
간송미술관,전시/기념관,37.59446244,126.996239,서울특별시 성북구 성북동 81-2,02-744-7830,10:00-18:00
간송미술관,전시/기념관,37.56804459,127.01089,서울특별시 중구 을지로7가 143,02-744-7830,10:00-18:00
간송박물관,전시/기념관,37.59446244,126.996239,서울특별시 성북구 성북동 81-2,02-744-7830,10:00-18:00
감리교신학대학교역사박물관,전시/기념관,37.56791676,126.961892,서울특별시 서대문구 냉천동 31,02-361-9226,07:00-19:00
강감찬전시관,전시/기념관,37.47197208,126.959371,서울특별시 관악구 봉천동 228,02-879-5618,화-일 10:00-18:00 (동절기 1-2월 10:00-17:00)
강남씨어터,영화/연극/공연,37.49537321,127.033284,서울특별시 강남구 역삼동 829-20,02-6712-0535,정보없음
강남아트홀,영화/연극/공연,37.50010872,127.024865,서울특별시 서초구 서초동 1307,070-8129-7420,정보없음
강남카누클럽,대형레저시설,37.5270468,127.079441,서울특별시 광진구 자양동 564,02-457-4757,09:00-19:00
강남KPOP전용관,영화/연극/공연,37.5062489,127.066848,서울특별시 강남구 대치동 1004-1,0507-1428-5578,정보없음
강동아트센터,영화/연극/공연,37.55122046,127.157343,서울특별시 강동구 상일동 477,02-440-0500,09:00-18:00
강동허브단지,관광지,37.5364816,127.150962,서울특별시 강동구 둔촌동 575-3,02-3425-5000,상시개방
강북구민운동장,대형체육시설,37.62942638,127.037989,서울특별시 강북구 번동 317,02-987-6893,"개방시간 : 06:00-22:00(연중무휴), 대관시간 : 06:00-22:00"
강북구민운동장축구장,대형체육시설,37.62942638,127.037989,서울특별시 강북구 번동 317,02-987-6893,"개방시간 : 06:00-22:00(연중무휴), 대관시간 : 06:00-22:00"
강북문화예술회관,영화/연극/공연,37.64098979,127.013878,서울특별시 강북구 수유동 360-10,02-944-3060,"평일 06:00-22:00, 주말 06:00-18:00"
강북솔밭국악당,영화/연극/공연,37.65469703,127.012711,서울특별시 강북구 우이동 100-5,,매일 9:00-22:00
강서문화원,영화/연극/공연,37.5446931,126.843755,서울특별시 강서구 화곡동 111-90,02-2692-4267,정보없음
강서천문우주과학관(2022년10월예정),전시/기념관,37.58087532,126.814464,서울특별시 강서구 방화동 855,,정보없음
강서하나로마트문화센터,영화/연극/공연,37.57679087,126.812197,서울특별시 강서구 방화동 829-3,02-2669-6100,정보없음
강서한강공원,공원,37.5867642,126.817173,서울특별시 강서구 방화동 2-40,02-3780-0621,00:00-24:00
강풀만화거리,관광지,37.536231,127.130334,서울특별시 강동구 성내동 160-48,02-3425-5252,상시개방
개운산유아숲체험장,관광지,37.59720671,127.025777,서울특별시 성북구 돈암동 산 6-1,02-2241-3669,상시개방
개웅산유아숲체험원,관광지,37.4869062,126.847126,서울특별시 구로구 개봉동 산 53-3,,상시개방
갤러리291,전시/기념관,37.58079919,126.966024,서울특별시 종로구 누상동 29-1,0507-1403-2138,12:00-18:00
갤러리관악,전시/기념관,37.47821067,126.951501,서울특별시 관악구 봉천동 1570-1,02-879-5607,10:00-18:00
갤러리담,전시/기념관,37.57908049,126.983441,서울특별시 종로구 안국동 7-1,02-738-2745,"월-토 12:00-18:00, 일 12:00-17:00"
갤러리두들,전시/기념관,37.51385583,126.89543,서울특별시 영등포구 문래동2가 14-59,,09:00-18:00
갤러리두인,전시/기념관,37.49955481,127.03934,서울특별시 강남구 역삼동 725-11,02-567-1212,평일 10:30-18:30토요일 11:00-17:00 기회전 개최시만 운영
갤러리미,전시/기념관,37.52525477,127.047232,서울특별시 강남구 청담동 118-17,02-542-3004,"월-금 10:00-19:00, 토 10:00-17:00"
갤러리브레송,전시/기념관,37.56142712,126.989953,서울특별시 중구 충무로2가 52-6,0507-1306-2613,"월-토 10:30-18:30, 일 11:00-18:00"
갤러리세줄,전시/기념관,37.6134223,126.975145,서울특별시 종로구 평창동 464-13,02-391-9171,11:00-21:00
갤러리스칸디아,전시/기념관,37.56772646,127.005485,서울특별시 중구 을지로6가 18-79,02-2260-7010,09:00-17:00
갤러리아트플러스,전시/기념관,37.57320429,126.987034,서울특별시 종로구 낙원동 283-35,02-732-7710,09:00-18:00
갤러리원,전시/기념관,37.52751645,127.045901,서울특별시 강남구 청담동 101-5,02-514-3439,"월-금 : 10:00-18:00, 토 : 방문시 사전예약"
갤러리인사아트,전시/기념관,37.57486032,126.984086,서울특별시 종로구 관훈동 103,02-760-4722,화요일-토요일 11시부터 19시까지
갤러리자인제노,전시/기념관,37.57963328,126.972136,서울특별시 종로구 창성동 130-5,02-737-5751,11:00-18:00
갤러리품,전시/기념관,37.56757579,126.969176,서울특별시 중구 정동 25-2,02-318-2338,10:00-18:00
