"v_spot_index","alsfc_ctprvn_nm","alsfc_signgu_nm","alsfc_nm","alsfc_rprsntv_tel_no","alsfc_addr","alsfc_detail_addr","alsfc_main_item_nm","alsfc_lo","alsfc_la"
1,서울,용산구,더아이다움,"02-711-1998",서울특별시 용산구 효창원로66길 17,"3층 더아이다움(효창동)",기타종목,"126.9629456","37.5409915"
2,서울,성동구,서울숲 탁구클럽,"02-6104-0120",서울특별시 성동구 상원4길 9,대신빌딩 지하(성수동1가),탁구,"127.0497012","37.547293"
3,서울,광진구,삼손스포츠수기명가,"",서울특별시 광진구 아차산로65길 14,B1층 삼손스포츠수기명가(구의동),헬스,"127.0940943","37.5410236"
4,서울,광진구,바디멀티필라테스 아차산점,"02-455-3205",서울특별시 광진구 천호대로 677,세진빌딩4층(구의동),필라테스,"127.0907297","37.5508158"
5,서울,성동구,민앤마이노,"02-3394-6070",서울특별시 성동구 천호대로 424,"4층 민앤마이노(용답동)",유도,"127.0660181","37.5609457"
6,서울,동대문구,유오에스필라요가,"02-2066-1982",서울특별시 동대문구 서울시립대로 163,웰니스센터 2층 필라테스 룸(전농동),필라테스,"127.0588564","37.583639"
7,서울,성북구,경희삼선체육관,"02-743-9158",서울특별시 성북구 보문로29다길 7,"3층 경희삼선체육관(삼선동3가)",태권도,"127.0133605","37.5855426"
8,서울,광진구,따숨,"",서울특별시 광진구 자양로 284,"2층(구의동)",기타종목,"127.0918282","37.5511103"
9,서울,동대문구,경희태권도,"02-964-6801",서울특별시 동대문구 제기로 131,"한신상가 5층(청량리동, 한신아파트)",태권도,"127.0494012","37.5881072"
10,서울,성북구,국제복싱체육관,"07-0816-11212",서울특별시 성북구 보문로 189,측면 3층 국제복싱체육관(삼선동4가),복싱,"127.0142997","37.5906217"
11,서울,성북구,심윤희댄스,"",서울특별시 성북구 동소문로 92,"9층(동소문동5가)",댄스,"127.0155017","37.5921783"
12,서울,동대문구,장안휘트니스,"07-0811-16228",서울특별시 동대문구 답십리로 252,"4층 장안휘트니스(장안동)",헬스,"127.0682309","37.5722491"
13,서울,종로구,종로구민회관,"02-3672-2530",서울특별시 종로구 지봉로5길 7-5,종로구민회관(창신동),헬스,"127.0144451","37.573459"
14,서울,성동구,마요재활트레이닝센터,"",서울특별시 성동구 독서당로59길 84,신동아 상가  205호(행당동),헬스,"127.0336747","37.5552743"
15,서울,성동구,마장국민체육센터,"02-2204-7641",서울특별시 성동구 마조로11길 6,마장국민체육센터(마장동),헬스,"127.0407835","37.5621277"
16,서울,성동구,마장탁구클럽,"02-6081-0840",서울특별시 성동구 마장로 284,"3층(마장동)",탁구,"127.0412778","37.5653566"
17,서울,동대문구,바디체크짐(동대문구),"",서울특별시 동대문구 한빛로 20,오피스텔 지하1층 바디체크짐(헬스)(신설동),헬스,"127.0254846","37.5773796"
18,서울,성북구,보성태권도,"02-6223-1533",서울특별시 성북구 종암로27길 37,"3층(종암동, 삼성 래미안아파트)",태권도,"127.0305744","37.6021271"
19,서울,성동구,성동구립용답체육센터,"02-2204-6627",서울특별시 성동구 천호대로78길 15-48,지하 1층 용답체육센터(용답동),수영,"127.057059","37.5618304"
20,서울,성동구,성동장애인종합복지관,"02-2290-3186",서울특별시 성동구 청계천로 506,성동장애인종합복지관(마장동),기타종목,"127.0334753","37.5702263"
21,서울,성북구,성북구도시관리공단(성북구립휘트니스센터),"02-2241-0691",서울특별시 성북구 보문로29길 49,성북구립휘트니스센터(삼선동3가),헬스,"127.01492","37.5863887"
22,서울,성북구,성실태권도체육관,"02-926-7363",서울특별시 성북구 고려대로17가길 78,래미안상가302호(안암동1가),태권도,"127.0226862","37.5891633"
23,서울,도봉구,창동문화체육센터,"02-901-5200",서울특별시 도봉구 노해로69길 132,창동문화체육센터(창동),헬스,"127.0507056","37.6581175"
